area_sqft,bedrooms,bathrooms,living_area_sqft,kitchen_area_sqft,dining_area_sqft,garage_area_sqft,balcony_area_sqft,floors,age_years,location,property_type,price_usd
3204,5,4,1371,264,189,729,164,4,48,Miami,Villa,1191888
2200,3,5,1096,238,205,373,141,1,5,Boston,Townhouse,347600
2700,5,1,1451,141,242,758,140,4,19,Phoenix,Townhouse,1404000
1848,6,4,855,121,127,537,133,2,33,Chicago,Apartment,478632
3653,4,5,1457,415,271,771,117,1,12,New York,Apartment,1702298
3798,1,3,1732,295,329,312,59,3,41,Denver,Townhouse,1716696
4851,1,4,1707,245,294,740,271,3,9,Miami,Villa,2119887
2617,6,2,1072,218,157,383,135,1,47,Boston,Townhouse,1224756
2477,2,4,1232,258,230,480,273,4,10,Phoenix,Townhouse,973461
3971,3,6,1531,265,277,265,136,1,15,Phoenix,Apartment,2477904
4031,6,4,1991,361,228,773,171,2,3,Houston,Townhouse,951316
1269,3,4,511,74,97,252,233,3,50,Denver,Penthouse,663687
5135,7,6,2406,289,316,388,68,4,47,Dallas,House,944840
4696,3,2,1792,368,254,618,234,3,0,Chicago,Penthouse,1798568
3259,4,6,1236,207,243,244,48,2,41,Denver,Townhouse,602915
1776,5,5,649,108,95,7,167,4,29,New York,Villa,548784
3842,2,5,1680,252,356,539,110,4,17,Chicago,Penthouse,729980
5587,2,6,2259,468,387,418,70,4,25,New York,Penthouse,3380135
1555,7,5,789,132,118,638,174,1,38,Seattle,Villa,262795
6479,7,6,2395,460,530,543,58,2,28,Miami,Townhouse,2889634
1258,6,1,462,74,119,110,228,3,33,Houston,House,174862
6439,1,6,2386,702,570,448,214,4,8,Houston,Villa,1352190
6122,4,5,2304,566,487,794,37,1,22,New York,Villa,3703810
4404,4,3,2008,527,321,257,7,1,26,Chicago,Townhouse,1611864
6531,1,1,2676,399,643,313,101,2,42,Seattle,Apartment,3200190
5259,5,6,2244,518,321,96,150,3,33,Chicago,Townhouse,1167498
4425,5,5,1838,448,343,669,256,2,24,Seattle,Villa,2247900
6011,3,3,2532,336,347,667,144,1,40,Denver,Penthouse,3889117
575,8,6,260,64,49,615,199,3,30,Chicago,Villa,176525
7596,5,2,2669,642,513,704,270,4,3,Chicago,Penthouse,1625544
6971,2,2,3657,468,599,164,95,3,10,Dallas,Apartment,3785253
1492,1,5,692,164,102,255,154,4,23,Phoenix,Apartment,335700
4363,7,1,1531,380,416,759,111,4,24,Seattle,House,1945898
3236,1,5,1286,194,181,438,46,2,48,New York,House,1986904
5510,5,4,2173,498,493,287,38,3,31,Seattle,Villa,3135190
2023,7,1,796,230,176,660,43,2,2,Seattle,House,1096466
3653,2,5,1489,333,206,338,136,2,0,Boston,House,529685
7228,8,1,3895,508,527,445,261,1,46,Miami,Apartment,2551484
2495,3,6,1311,281,191,498,114,4,41,Denver,Villa,681135
3033,2,1,1215,258,288,503,192,3,30,Los Angeles,Penthouse,1543797
2694,7,2,1345,280,233,82,156,1,7,Phoenix,Apartment,1188054
6758,6,1,2733,745,555,509,103,3,9,New York,House,3466854
3299,8,5,1624,354,244,716,2,2,9,Boston,Penthouse,422272
2136,2,3,1022,232,188,243,300,4,24,Denver,Villa,1200432
4611,4,3,2093,423,387,640,279,4,5,Phoenix,Townhouse,1346412
4483,7,1,2288,391,415,561,188,3,4,Seattle,Villa,2591174
6232,1,3,2435,638,336,625,104,4,18,Chicago,Townhouse,2904112
1442,2,1,654,78,120,109,176,1,22,Seattle,House,566706
2301,4,1,1237,139,150,45,135,1,23,Houston,Townhouse,1244841
5283,2,4,2069,315,290,142,68,3,2,Denver,Penthouse,2889801
5426,2,2,2065,525,279,691,31,4,13,Los Angeles,Villa,3369546
1557,7,3,627,133,98,331,296,2,14,Denver,Villa,482670
3074,6,2,1139,187,165,481,99,3,2,Miami,Villa,544098
1755,8,1,672,154,123,377,169,3,27,Miami,Apartment,847665
1918,5,5,738,206,104,637,189,3,18,Los Angeles,House,506352
2998,5,3,1280,253,200,749,61,4,5,Phoenix,House,1645902
711,6,6,321,76,46,193,133,3,32,Seattle,Villa,446508
1523,4,4,786,113,119,35,125,2,32,Miami,Townhouse,533050
8000,1,4,2831,535,590,234,172,4,24,Chicago,House,1248000
7373,4,5,3304,781,703,536,77,3,47,Miami,Penthouse,3870825
3819,8,3,1560,456,337,511,59,4,22,Miami,Villa,1630713
1369,8,6,582,162,83,280,230,3,42,Boston,Apartment,229992
2138,6,6,848,176,146,454,46,1,19,Denver,Townhouse,258698
564,6,4,265,35,39,475,244,1,45,Dallas,Apartment,350808
5283,3,1,2743,421,276,603,151,3,17,Dallas,House,3196215
5927,3,1,2944,648,525,259,66,2,20,New York,Townhouse,3834769
1269,7,5,600,125,121,180,31,1,5,Chicago,Villa,431460
1732,3,3,631,113,169,626,150,1,8,New York,Penthouse,859072
864,5,3,428,76,62,131,200,2,20,Houston,Townhouse,247968
4800,8,4,2260,292,361,376,73,2,6,Boston,Penthouse,2654400
4593,3,5,1886,258,439,452,238,1,14,Houston,House,647613
2126,5,3,993,141,157,592,8,1,24,Denver,House,716462
7087,5,6,3649,661,503,590,243,3,35,New York,House,2041056
1844,2,5,720,148,159,413,155,1,28,Seattle,Villa,979164
5449,4,5,2121,426,346,524,47,1,20,Los Angeles,Townhouse,3105930
6177,6,1,3278,377,437,580,204,4,31,Seattle,Townhouse,2310198
4629,8,1,2541,326,373,379,141,3,39,Boston,Apartment,2495031
6785,3,6,2487,791,514,475,287,4,32,New York,Penthouse,3826740
5985,7,5,2186,356,480,467,91,3,47,Seattle,Penthouse,772065
971,3,1,456,109,90,431,108,4,43,Denver,Villa,609788
6559,5,5,3590,373,576,106,47,3,25,Dallas,Apartment,1652868
7081,8,2,3521,607,532,46,230,3,21,Dallas,Apartment,1444524
963,4,5,447,111,68,748,204,2,32,Chicago,Penthouse,300456
509,4,5,254,34,27,601,75,1,5,Phoenix,Apartment,228541
3427,3,5,1566,182,290,659,262,1,25,Boston,Penthouse,1973952
7806,7,6,2789,433,459,494,296,2,17,Los Angeles,House,2966280
6419,1,4,3190,737,392,260,168,2,12,Boston,House,3299366
5633,1,3,2821,298,424,358,35,1,36,Phoenix,Penthouse,861849
2621,6,4,1236,152,166,160,218,4,14,Dallas,Townhouse,1690545
505,7,2,263,37,33,411,177,3,8,Chicago,Penthouse,154025
2485,1,6,1170,139,245,7,148,1,4,Boston,Villa,954240
2419,6,1,1013,273,200,80,226,1,31,Boston,Villa,1236109
745,8,2,354,86,38,523,238,2,16,Houston,Villa,248085
783,4,3,342,60,52,275,213,4,4,New York,Townhouse,234117
572,5,3,313,44,39,704,49,4,26,Denver,Apartment,296296
5350,4,1,2387,633,311,50,227,3,26,Denver,Apartment,1096750
2243,7,1,1230,235,208,634,269,4,40,Seattle,Townhouse,1442249
6495,2,3,3234,497,586,674,65,3,7,Miami,House,1474365
1489,7,2,621,123,109,81,133,2,38,Chicago,Villa,270998
5318,5,1,2873,335,285,355,106,1,49,Phoenix,Apartment,1568810
936,5,4,490,90,65,87,11,2,17,Seattle,Penthouse,155376
5720,6,1,2691,314,489,356,171,3,14,Chicago,Apartment,2980120
3710,3,5,1555,306,187,312,46,1,29,Chicago,Penthouse,1654660
7850,7,1,4018,750,662,775,20,3,10,Houston,Apartment,1067600
7017,3,6,3010,827,500,489,294,4,17,Dallas,Penthouse,3452364
3752,7,5,1686,434,215,517,81,1,15,Miami,Villa,1984808
6160,8,6,2886,390,551,577,300,3,24,New York,Apartment,1724800
7570,7,4,3533,485,479,377,236,4,10,Los Angeles,Penthouse,2520810
2652,7,1,1088,242,233,725,120,4,38,Denver,Apartment,1633632
4134,8,2,1695,414,230,514,63,3,41,New York,Penthouse,1541982
1705,2,4,773,149,158,83,123,4,28,Boston,Penthouse,533665
1867,2,6,733,127,124,221,30,4,35,Dallas,Villa,886825
3006,1,3,1438,268,276,416,13,3,49,Boston,Apartment,562122
7822,7,5,4137,833,669,266,8,4,24,Houston,Penthouse,4779242
3175,7,2,1497,370,295,596,45,4,24,Denver,Villa,647700
1448,7,1,744,126,84,728,290,3,6,Houston,Villa,372136
5770,7,5,2045,342,453,692,194,4,18,Seattle,House,3340830
3967,3,1,2069,290,242,592,188,4,23,Miami,Townhouse,940179
7249,1,5,3900,547,401,569,205,1,0,Chicago,Townhouse,1681768
5417,6,5,1929,360,402,772,258,3,23,Miami,House,904639
6079,8,3,3335,671,532,75,262,3,13,Phoenix,Penthouse,1288748
5096,4,5,2010,527,498,553,212,3,31,Phoenix,Townhouse,825552
1760,4,5,656,189,130,256,191,2,25,Phoenix,House,557920
4543,2,1,1939,515,230,791,85,3,47,Chicago,Apartment,2167011
1079,2,6,431,93,85,704,148,2,26,Houston,House,648479
6444,5,6,2629,534,447,597,288,1,10,Dallas,House,3666636
6665,5,1,3476,392,377,254,83,2,42,New York,Villa,2666000
2287,3,1,957,163,142,101,182,3,40,Seattle,Townhouse,1319599
3416,7,5,1646,346,295,402,122,2,42,Los Angeles,Villa,2073512
1844,8,4,810,118,139,532,195,1,16,Houston,Townhouse,597456
4332,5,6,2045,517,290,282,155,2,20,Boston,Townhouse,1984056
1014,5,2,398,73,95,578,231,3,18,Houston,Apartment,322452
2475,2,6,1138,162,161,599,160,3,4,New York,Penthouse,982575
5010,6,1,2478,515,414,693,53,3,45,New York,Villa,2830650
2260,7,1,984,119,153,768,11,2,39,New York,Villa,1367300
531,1,6,228,42,45,234,217,3,37,Denver,Penthouse,224082
3175,8,1,1701,378,299,686,261,4,4,Miami,Penthouse,428625
3001,6,5,1471,175,179,305,176,1,18,Dallas,Penthouse,1164388
4705,8,2,1884,379,369,412,81,1,36,Boston,House,1209185
7987,6,5,4384,806,411,81,183,3,11,Denver,Apartment,2523892
1274,8,1,666,70,90,711,161,1,44,Houston,House,554190
2907,8,4,1138,199,260,416,98,1,32,New York,Penthouse,793611
6582,2,3,3321,479,497,567,46,4,34,Los Angeles,Penthouse,2356356
969,7,2,427,62,68,493,294,3,49,Los Angeles,Townhouse,343026
2643,5,5,940,268,203,31,246,4,47,Boston,Apartment,1184064
3628,3,6,1939,430,257,255,45,2,20,New York,Townhouse,2147776
7551,5,4,2729,380,639,35,50,4,22,Boston,Apartment,1057140
4119,3,5,1930,416,210,596,113,4,44,Miami,Villa,1379865
5746,2,1,2864,355,449,579,290,1,48,New York,Villa,735488
3562,1,6,1758,418,210,620,251,1,38,Boston,Townhouse,441688
6030,2,2,3269,647,430,224,29,2,14,Miami,Penthouse,2852190
5619,8,6,2132,524,463,542,64,3,24,Seattle,Townhouse,1359798
909,6,3,480,46,55,574,6,3,40,Phoenix,Townhouse,383598
2344,7,1,1179,207,118,197,120,3,24,Boston,House,487552
5344,8,6,2239,589,419,632,121,3,18,Dallas,Penthouse,2458240
1708,1,1,714,187,107,685,99,3,18,Boston,Villa,442372
2351,2,3,973,174,122,570,229,1,39,Chicago,Apartment,811095
2330,4,5,1059,193,182,104,109,3,4,Chicago,Townhouse,731620
6853,7,6,2674,790,580,306,31,3,33,Houston,Apartment,1932546
1282,7,4,454,76,85,336,88,2,29,Miami,House,621770
5177,8,3,1923,474,458,649,8,3,9,Chicago,Apartment,3297749
600,7,2,288,32,54,697,81,1,3,Houston,Penthouse,76200
5134,5,1,2434,336,320,331,257,4,23,Miami,Penthouse,698224
1356,8,5,646,79,77,0,292,2,15,Seattle,Penthouse,277980
934,4,5,417,56,85,676,262,2,13,New York,Townhouse,512766
3934,2,6,1380,304,254,673,181,2,41,Boston,Villa,928424
5481,1,6,1997,507,475,751,13,4,37,Houston,House,1485351
6440,7,6,3035,486,435,439,233,2,48,Phoenix,Villa,2949520
7605,1,2,3339,452,391,513,257,3,20,Miami,Villa,1825200
3877,3,1,1794,230,248,470,253,4,32,New York,Villa,1298795
1145,2,6,418,68,87,132,242,3,39,Houston,Penthouse,519830
3279,2,2,1149,313,279,255,152,4,6,Dallas,Townhouse,901725
7692,8,2,3333,734,686,73,172,1,1,New York,Apartment,4938264
4913,4,5,2224,430,413,576,209,2,29,Denver,Villa,972774
6466,5,1,2382,592,581,474,203,2,45,Seattle,Apartment,3388184
4080,4,3,1987,272,313,185,271,4,45,Chicago,Apartment,1272960
1863,3,5,790,162,93,699,222,1,27,Denver,Villa,659502
7337,5,4,3280,527,701,458,51,4,42,New York,Villa,1753543
4594,8,5,1910,365,300,139,286,2,28,Chicago,Townhouse,2728836
3943,4,4,2026,233,282,336,194,1,50,Chicago,Townhouse,1135584
2714,6,3,1404,191,194,598,294,2,11,New York,Apartment,1072030
1383,6,3,515,114,117,717,248,1,6,Boston,Villa,749586
1438,3,2,673,84,105,34,169,1,45,Miami,Penthouse,488920
935,8,3,501,108,58,484,101,2,20,Miami,House,582505
7610,2,5,3067,663,565,785,259,3,24,Seattle,Townhouse,2305830
5065,6,4,2237,528,364,584,239,4,38,Phoenix,Penthouse,1468850
5269,5,4,2429,283,273,767,99,3,46,Seattle,Apartment,1143373
7504,1,1,3420,420,706,40,117,2,20,Dallas,Apartment,4569936
3631,2,3,1544,343,286,220,58,3,25,Phoenix,Villa,1241802
4344,1,5,1871,374,258,99,287,3,27,Dallas,Villa,2237160
3862,7,6,1769,354,339,631,116,3,15,Phoenix,House,529094
7428,1,4,2945,752,373,366,260,4,32,Miami,Townhouse,1619304
6394,3,2,2478,323,615,280,269,2,24,Denver,Penthouse,3913128
4336,1,3,2195,315,344,233,191,2,39,Miami,Penthouse,1860144
7570,4,3,3675,687,521,416,144,4,29,Houston,Penthouse,3686590
1240,7,6,522,63,90,657,65,1,15,New York,House,412920
1105,2,1,509,107,61,737,282,4,27,Seattle,House,712725
3821,3,5,2046,254,315,270,139,2,30,Chicago,Apartment,764200
3048,3,4,1419,164,199,149,262,2,12,Miami,Townhouse,1630680
4067,2,1,2228,386,271,95,128,3,0,New York,Villa,2432066
4815,1,3,1835,532,245,658,109,1,9,Houston,Townhouse,1357830
5757,1,1,2618,454,520,128,154,3,11,Seattle,Villa,2239473
1099,8,1,407,77,74,592,193,2,8,Miami,Apartment,160454
5443,6,2,2205,430,496,316,268,3,14,Denver,Penthouse,3129725
6191,7,6,2431,608,484,738,8,3,37,New York,Apartment,1783008
7653,4,2,4080,456,447,300,214,2,17,Denver,Apartment,1102032
6506,3,4,2462,388,507,470,46,1,17,Phoenix,Apartment,3285530
7594,8,6,2981,895,513,499,18,4,37,Seattle,Penthouse,2923690
4213,1,4,2201,329,311,566,24,3,28,Miami,Townhouse,1331308
2366,3,2,1272,127,224,150,287,4,26,New York,House,757120
7395,3,2,2720,407,709,249,200,1,47,Chicago,Villa,2521695
7242,3,6,2654,699,534,651,187,2,48,New York,House,2541942
5529,6,4,2936,375,442,339,150,2,10,Houston,Penthouse,2604159
4272,7,6,1623,355,361,521,28,2,50,Los Angeles,Apartment,1132080
3771,2,1,1888,411,230,402,196,3,48,Miami,House,584505
782,5,5,387,47,62,465,270,1,36,Boston,House,441048
3061,1,3,1272,296,248,247,185,4,26,Los Angeles,Townhouse,1897820
3366,5,3,1365,364,179,170,281,2,12,New York,Apartment,1255518
4979,7,2,1957,363,317,328,120,2,7,Denver,Villa,1155128
1023,1,6,510,105,60,94,41,4,45,New York,Townhouse,339636
3575,4,2,1847,344,327,654,82,4,40,New York,Townhouse,2134275
5227,2,5,2307,322,411,409,283,3,10,New York,House,2712813
3066,4,1,1617,229,210,710,7,1,12,Los Angeles,Townhouse,1680168
7003,7,5,3469,608,674,351,160,1,48,Denver,Apartment,2633128
4532,3,6,1887,303,312,321,287,2,9,Chicago,Apartment,2750924
3467,8,4,1311,319,279,529,146,2,14,Boston,Townhouse,1816708
1982,8,4,1044,113,177,697,89,3,31,Phoenix,Apartment,864152
7150,3,3,2606,464,628,282,218,2,36,Chicago,Apartment,1894750
3105,7,3,1107,308,163,536,99,3,11,Houston,Penthouse,785565
3490,7,1,1574,375,195,635,161,1,13,Houston,Villa,781760
4750,6,3,2293,252,385,277,0,3,49,New York,Penthouse,1144750
3216,8,1,1659,181,183,665,232,2,26,Seattle,Villa,1710912
6222,6,3,2284,613,574,734,129,2,3,Boston,House,2215032
5379,7,5,2192,331,470,382,97,1,18,Boston,Apartment,2931555
812,5,3,338,50,80,361,42,1,5,Denver,Apartment,214368
4395,1,3,2383,371,312,582,229,4,12,Boston,Apartment,2074440
6323,8,6,2621,591,540,400,259,4,2,New York,Townhouse,3559849
1623,7,5,591,92,93,790,157,3,10,Phoenix,Villa,516114
2469,4,6,1168,261,135,797,296,4,49,Phoenix,Apartment,1459179
6148,2,4,3315,336,439,17,2,2,4,Seattle,Penthouse,1149676
1298,6,6,669,145,106,605,8,4,47,Boston,Villa,783992
7745,8,2,3120,697,759,175,180,1,46,Seattle,Townhouse,1130770
5474,1,5,1921,372,522,163,223,1,3,Seattle,Villa,875840
7732,7,4,2769,808,388,202,117,4,26,Boston,Villa,4623736
7919,7,1,4259,551,568,391,24,1,42,Seattle,Apartment,4300017
4997,7,6,1963,273,291,748,29,1,10,Chicago,Apartment,1184289
628,1,5,277,67,32,630,93,2,16,Dallas,Penthouse,400664
1118,7,4,485,123,58,318,45,1,6,New York,Penthouse,467324
4351,8,6,2265,236,347,266,33,4,30,Houston,Apartment,935465
3048,2,6,1214,216,303,286,228,1,21,Denver,House,1203960
5318,6,4,2750,493,450,314,28,1,27,Denver,House,2701544
2728,2,6,1349,296,141,708,83,4,13,Phoenix,Villa,1298528
1471,5,2,765,170,76,279,168,4,14,Chicago,Townhouse,538386
4189,1,4,2023,353,321,508,21,2,48,Phoenix,Villa,2195036
6453,3,5,3446,373,560,599,244,3,44,Boston,Penthouse,3639492
4116,7,6,1621,419,344,130,138,3,15,Chicago,House,1950984
3491,5,1,1634,400,318,792,199,4,2,Houston,Townhouse,1689644
7072,8,1,3636,382,694,618,202,3,29,Boston,Villa,1930656
5312,4,3,2748,630,507,184,222,2,14,Phoenix,House,2974720
4838,6,2,2126,496,305,326,216,1,13,Denver,Apartment,2515760
5887,1,1,2288,670,482,203,188,2,19,New York,House,3390912
7974,4,4,2839,795,697,322,295,2,12,Phoenix,Apartment,2455992
6288,3,4,2515,540,536,405,115,4,31,Phoenix,Villa,3533856
6139,2,1,2309,468,459,738,214,2,4,Miami,Villa,2394210
4098,2,2,2061,225,320,298,264,2,38,Dallas,Penthouse,1717062
2982,2,5,1096,181,257,7,214,1,44,Dallas,House,1496964
3895,3,2,2100,356,299,51,179,4,21,Chicago,Apartment,2173410
4241,5,4,1592,355,333,155,182,3,47,Miami,Penthouse,2205320
6967,4,6,3195,556,666,10,186,2,26,Phoenix,House,3762180
2339,7,3,1113,179,117,48,216,4,36,Boston,Apartment,1506316
980,4,2,371,106,68,164,104,1,9,Boston,Apartment,460600
4313,4,1,2260,435,312,654,12,2,29,Boston,Villa,655576
5983,2,5,2974,488,488,711,223,1,5,Chicago,Townhouse,1112838
2892,3,6,1555,291,223,225,216,3,43,Houston,Townhouse,1535652
4008,7,4,1727,406,239,20,101,3,15,New York,Penthouse,2124240
2022,5,4,715,210,160,188,175,1,27,Boston,Apartment,1160628
5377,3,1,2705,393,412,50,26,2,12,Miami,Penthouse,1381889
5289,7,6,2807,541,358,720,42,2,13,Miami,Apartment,2052132
4441,3,3,2327,397,426,454,58,1,15,Houston,Apartment,1332300
6832,5,3,3508,430,565,780,278,1,44,Los Angeles,Villa,3805424
3275,8,6,1511,313,267,790,232,4,3,Chicago,Townhouse,1454100
7403,8,4,3914,534,720,612,14,4,46,New York,Penthouse,3893978
4360,1,1,1976,419,435,331,107,1,38,Chicago,Villa,754280
5958,2,2,3143,456,345,699,15,3,6,Chicago,Villa,3354354
2757,7,2,1426,201,161,524,28,3,5,Seattle,Apartment,1097286
4901,3,1,1791,479,346,742,287,4,28,Chicago,Apartment,793962
4329,6,6,2151,465,342,371,287,3,5,Los Angeles,Penthouse,2714283
3429,3,3,1649,407,317,712,56,2,20,Miami,Penthouse,1141857
4538,8,4,2295,298,391,30,232,3,12,Chicago,Penthouse,1565610
5497,8,5,2527,368,414,374,198,1,9,Chicago,Apartment,2682536
3996,4,3,1543,429,352,83,75,3,15,Boston,Apartment,487512
5567,1,1,2965,614,435,58,260,2,3,Boston,House,3061850
3645,8,6,1651,226,237,198,16,4,15,Seattle,Apartment,882090
2107,3,2,870,244,173,98,163,2,47,Houston,Villa,429828
4737,4,1,2271,418,435,322,172,3,3,Dallas,House,990033
5883,8,5,2701,685,393,551,45,1,7,New York,Townhouse,3518034
7179,6,2,3936,783,410,508,10,2,5,Dallas,House,2749557
4171,4,4,1563,454,265,333,10,3,26,Los Angeles,Apartment,2665269
6834,3,4,2864,689,602,278,33,1,35,Denver,Townhouse,4353258
5169,3,1,1970,510,387,132,159,1,42,Boston,Apartment,1374954
621,6,1,334,65,40,457,244,3,18,Los Angeles,Apartment,79488
2420,3,3,952,152,223,510,161,1,2,Houston,Townhouse,1432640
1707,4,1,916,137,167,390,286,2,41,Denver,Penthouse,1053219
1044,4,3,539,110,74,360,279,2,24,Phoenix,House,675468
6156,8,5,3064,608,466,88,96,3,38,Chicago,Apartment,2351592
3437,2,1,1847,372,202,797,138,1,21,Phoenix,Penthouse,1639449
3295,7,6,1313,333,167,506,73,1,24,Boston,Apartment,1443210
1740,4,6,878,187,140,296,252,1,44,Los Angeles,Apartment,361920
2738,6,1,1120,264,155,51,152,4,4,Seattle,Penthouse,1681132
4869,2,1,2400,352,392,20,284,4,24,Boston,Townhouse,2186181
3122,3,2,1658,213,229,444,80,4,9,Los Angeles,Penthouse,1788906
4565,1,1,2172,316,273,780,265,1,6,Boston,House,1127555
2107,1,2,782,133,132,233,30,1,38,Denver,House,872298
2576,5,4,1411,281,129,739,217,1,22,Dallas,Townhouse,1285424
7789,6,6,3306,723,715,45,129,2,26,New York,Villa,1487699
2537,3,2,1103,165,154,453,70,1,2,Boston,Villa,446512
1152,5,3,456,105,93,472,0,4,15,Houston,Villa,334080
1436,5,3,575,116,117,191,109,4,48,Los Angeles,Apartment,334588
7134,2,6,3129,778,591,499,255,1,44,Dallas,Apartment,3873762
5194,7,5,2764,447,358,315,271,2,8,Miami,House,3043684
4680,6,2,2047,276,282,737,182,1,19,Los Angeles,Penthouse,1352520
7912,8,1,3052,826,667,254,225,2,10,Seattle,House,2270744
3816,3,6,1519,365,229,798,95,1,22,New York,Apartment,1511136
6361,4,1,2912,381,482,57,64,4,25,Seattle,Townhouse,839652
7795,4,3,3467,707,762,792,143,3,22,Houston,Apartment,2751635
7105,1,5,3749,582,364,304,259,4,36,Seattle,Villa,930755
6476,4,3,3127,366,388,271,53,3,49,Denver,Penthouse,874260
7820,2,3,3529,489,432,598,62,1,4,Denver,Villa,4856220
4679,4,2,2388,504,251,413,91,3,30,Chicago,Penthouse,2400327
4821,3,3,2373,456,426,586,258,3,6,Seattle,Townhouse,2092314
6954,3,4,2661,420,408,469,168,4,11,Phoenix,Villa,931836
5584,5,5,2403,660,396,122,0,2,43,Denver,Apartment,2362032
2741,7,2,1115,325,222,388,172,4,19,Phoenix,Apartment,644135
7295,4,1,3158,430,586,411,78,3,41,Miami,Penthouse,4289460
6094,8,2,2763,675,588,585,280,1,23,Phoenix,Townhouse,2053678
7835,8,4,4218,810,471,170,141,3,48,Los Angeles,Townhouse,1606175
4136,2,5,1562,310,216,746,213,1,15,Phoenix,Townhouse,2154856
4432,7,1,1917,353,240,570,189,4,22,Chicago,Villa,824352
6982,5,4,3073,509,688,631,176,3,39,Boston,Apartment,2003834
2217,6,2,1076,227,130,461,200,2,38,Dallas,Penthouse,383541
2525,8,4,1226,233,148,26,169,4,37,Dallas,Penthouse,1408950
6498,2,5,3178,679,508,489,130,2,50,New York,Penthouse,2365272
2326,5,6,1208,261,198,78,280,3,36,Miami,Townhouse,1037396
7493,5,5,2795,818,700,47,285,1,5,Houston,Townhouse,4803013
5151,6,4,2235,543,418,460,73,4,20,Miami,Apartment,1256844
3103,2,5,1315,282,212,20,250,4,14,Houston,Apartment,989857
1273,7,5,677,109,113,518,186,4,12,Denver,Penthouse,616132
